name,image,price,product_link,product_type
"Sleeveless cherry short dress set with halter neck, off-the-shoulder design, fringe detail, and concealed back fastening.",https://static.zara.net/assets/public/c74e/0f12/112b45ca9a0b/a214faf57181/04772283608-p/04772283608-p.jpg?ts=1765296613580&w=293,"₹ 5,950.00",https://www.zara.com/in/en/short-halter-dress-with-fringing-p04772283.html,dresses
Short black dress set with a flowing neckline and long sleeves.,https://static.zara.net/assets/public/b47f/5d80/3b8f44aa82bc/496d9dd1ad80/09377332800-a1/09377332800-a1.jpg?ts=1765296912584&w=293,"₹ 3,550.00",https://www.zara.com/in/en/flowing-satin-dress-p09377332.html,dresses
"Black midi dress ensemble with a boat neck, long sleeves, and a thin belt, paired with brown knee-high boots.",https://static.zara.net/assets/public/47ac/2482/c73e4239b511/406d02469695/05536004800-h1/05536004800-h1.jpg?ts=1765364499657&w=609,"₹ 4,950.00",https://www.zara.com/in/en/belted-midi-dress-p05536004.html,dresses
"Black dress set with lace on the neckline and hem, spaghetti straps and midi length.",https://static.zara.net/assets/public/65c0/8ef7/11b4417a87ba/aa251555658a/05919201800-a1/05919201800-a1.jpg?ts=1765359830601&w=293,"₹ 5,950.00",https://www.zara.com/in/en/zw-collection-satin-lace-dress-p05919201.html,dresses
"Dark brown roll-neck, long-sleeved jumper dress set, paired with black shoes.",https://static.zara.net/assets/public/c336/8f46/8d4d46118506/be5f54675b19/05536158700-p/05536158700-p.jpg?ts=1761834680341&w=293,"₹ 3,550.00",https://www.zara.com/in/en/soft-knit-short-dress-p05536158.html,dresses
Brown short-sleeved dress set with black belt.,https://static.zara.net/assets/public/0a3e/8c9e/252148f49d1b/017b156fc2bc/02756144730-a3/02756144730-a3.jpg?ts=1765298244487&w=293,"₹ 4,950.00",https://www.zara.com/in/en/midi-dress-with-belt-p02756144.html,dresses
Green dress set with black lace on the neckline and a long black pleated skirt.,https://static.zara.net/assets/public/3412/8ae6/21f84f10857d/f07e4f2208bd/04772042500-p/04772042500-p.jpg?ts=1764859294632&w=293,"₹ 4,350.00",https://www.zara.com/in/en/asymmetric-satin-lace-dress-zw-collection-p04772042.html,dresses
"Sleeveless midi black dress set, halter neck, with beads and sequins, concealed side fastening.",https://static.zara.net/assets/public/f754/9d21/b41a467fba5a/f037fe3ac3bd/02157247800-a1/02157247800-a1.jpg?ts=1764848123193&w=293,"₹ 5,950.00",https://www.zara.com/in/en/beaded-velvet-halter-midi-dress-p02157247.html,dresses
"Floral jacquard short dress set, high neck and sleeveless, in various shades.",https://static.zara.net/assets/public/55c9/cf73/06034327ba54/10f5e70fac8b/05584199700-a1/05584199700-a1.jpg?ts=1760607914468&w=293,"₹ 3,350.00",https://www.zara.com/in/en/short-jacquard-dress-p05584199.html,dresses
"Black midi dress set with a sweetheart neckline, wide straps, and contrasting white floral print.",https://static.zara.net/assets/public/4ea9/7756/dca1466e8c66/d9ed6f4f95dd/05584225800-p/05584225800-p.jpg?ts=1758814158310&w=293,"₹ 3,550.00",https://www.zara.com/in/en/floral-stretch-midi-dress-p05584225.html,dresses
"Front view of a midi ecru dress with a round neck, V-neckline, short sleeves, covered buttons, and a combined fabric hem.",https://static.zara.net/assets/public/d202/2c24/cb434c21999b/c054ab91fa8f/04192001712-e1/04192001712-e1.jpg?ts=1764089476924&w=293,"₹ 7,550.00",https://www.zara.com/in/en/knit-dress-with-matching-detail-p04192001.html,dresses
"Mid-shot of a short black dress with a round neck, sleeveless, and white bows on the front.",https://static.zara.net/assets/public/f4d4/5bbf/619b4af186a4/d27db139def5/03067238800-p/03067238800-p.jpg?ts=1763110894138&w=293,"₹ 3,550.00",https://www.zara.com/in/en/contrast-bow-mini-dress-p03067238.html,dresses
"Short red dress set with a flowing neckline, shoulder pads, and diamante details. Sleeveless and a criss-cross strap at the back.",https://static.zara.net/assets/public/fe6a/8a7e/3f854fc3a865/f62328145877/04772258600-a1/04772258600-a1.jpg?ts=1764241249178&w=293,"₹ 10,950.00",https://www.zara.com/in/en/short-dress-with-shoulder-pads-and-rhinestones-p04772258.html,dresses
Satin black midi dress set with lace on the neckline and thin straps.,https://static.zara.net/assets/public/ef04/8d11/ffca4acc97e1/437893ebdc25/09726748800-p/09726748800-p.jpg?ts=1761757821503&w=293,"₹ 4,950.00",https://www.zara.com/in/en/contrasting-satin-midi-dress-p09726748.html,dresses
"Medium shot of purple dress with high neck, long sleeves, and bow detail on the shoulder.",https://static.zara.net/assets/public/634d/e5b5/705745d6b8b6/c8fba9dc95d5/05029197610-p/05029197610-p.jpg?ts=1759740999086&w=293,"₹ 4,950.00",https://www.zara.com/in/en/mini-dress-with-scarf-p05029197.html,dresses
